idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
60185;1.0;1.0;DE;2.0;7.0;5.0;5.0;0;6.0;2.0;16.0;8.0;10.0;7.0;5.0;7.0;1;1
60207;3.0;1.0;DE;3.0;7.0;4.0;4.0;0;1.0;4.0;33.0;0.0;2.0;5.0;0.0;3.0;1;0
60219;3.0;1.0;DE;5.0;6.0;2.0;5.0;0;6.0;3.0;36.0;2.0;4.0;4.0;2.0;6.0;1;0
60267;3.0;1.0;DE;7.0;10.0;2.0;3.0;1;1.0;3.0;56.0;10.0;9.0;9.0;8.0;8.0;1;0
60272;3.0;1.0;DE;2.0;7.0;2.0;3.0;1;4.0;3.0;47.0;0.0;0.0;2.0;1.0;0.0;1;0
60312;3.0;1.0;DE;6.0;5.0;1.0;5.0;1;4.0;3.0;71.0;0.0;5.0;5.0;1.0;1.0;1;0
60342;3.0;1.0;DE;3.0;5.0;2.0;2.0;0;1.0;2.0;69.0;8.0;8.0;8.0;8.0;7.0;1;0
60365;3.0;1.0;DE;3.0;6.0;2.0;2.0;1;1.0;3.0;68.0;0.0;7.0;9.0;0.0;0.0;1;0
60378;3.0;1.0;DE;3.0;6.0;2.0;5.0;0;1.0;3.0;62.0;8.0;9.0;9.0;5.0;5.0;1;0
60380;1.0;1.0;DE;3.0;3.0;2.0;5.0;1;1.0;4.0;71.0;2.0;6.0;9.0;3.0;3.0;1;1
60390;1.0;1.0;DE;5.0;8.0;2.0;3.0;1;1.0;3.0;61.0;2.0;7.0;8.0;1.0;2.0;1;1
60393;1.0;1.0;DE;3.0;4.0;1.0;2.0;1;5.0;3.0;70.0;2.0;4.0;7.0;3.0;3.0;1;1
60406;1.0;1.0;DE;6.0;9.0;2.0;5.0;1;6.0;1.0;32.0;7.0;7.0;8.0;6.0;7.0;1;1
60419;1.0;1.0;DE;5.0;1.0;2.0;5.0;0;1.0;4.0;69.0;2.0;10.0;10.0;8.0;8.0;1;1
60431;3.0;1.0;DE;2.0;3.0;1.0;5.0;0;6.0;2.0;49.0;2.0;2.0;5.0;0.0;0.0;1;0
60446;3.0;1.0;DE;7.0;10.0;2.0;5.0;0;1.0;4.0;63.0;0.0;2.0;5.0;0.0;0.0;1;0
60447;3.0;1.0;DE;7.0;8.0;4.0;5.0;1;1.0;2.0;43.0;10.0;10.0;6.0;7.0;4.0;1;0
60473;1.0;1.0;DE;3.0;4.0;4.0;5.0;1;1.0;4.0;27.0;6.0;7.0;8.0;5.0;5.0;1;1
